starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 18 18:17:44 2022	1663535864	0	5020	5020	5019
Sun Sep 18 18:17:49 2022	1663535869	1	20108	20109	10064
Sun Sep 18 18:17:49 2022	1663535869	0	20109	20109	20107
Sun Sep 18 18:17:49 2022	1663535869	1	20108	20109	5044
Sun Sep 18 18:17:49 2022	1663535869	0	20109	20109	15085
