starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 18 18:17:08 2022	1663535828	0	5029	5029	5028
Sun Sep 18 18:17:13 2022	1663535833	0	5073	5074	5072
Sun Sep 18 18:17:13 2022	1663535833	0	5075	5075	5074
Sun Sep 18 18:17:13 2022	1663535833	0	5076	5076	5075
Sun Sep 18 18:17:13 2022	1663535833	0	5077	5078	5077
